Gene,gRNA
AKAP8,NTC-10
AKAP9,NTC-10
AKIP1,NTC-10
AKIRIN1,NTC-10
AKIRIN2,NTC-10
AKNA,NTC-10
AKR1A1,NTC-10
AKR1B15,NTC-10
AKR1C1,NTC-10
AKR1C2,NTC-10
AKR1C3,NTC-10
AKR1E2,NTC-10
AKR7A2,NTC-10
AKT1,NTC-10
AKT1S1,NTC-10
AKT2,NTC-10
AL031777.3,NTC-10
AL135905.2,NTC-10
AL162231.1,NTC-10
AL354822.1,NTC-10
AL356534.1,NTC-10
AL359976.1,NTC-10
AL390334.1,NTC-10
AL390719.1,NTC-10
AL390728.4,NTC-10
AL390879.1,NTC-10
AL442128.1,NTC-10
AL512646.1,NTC-10
AL589743.1,NTC-10
AL591438.2,NTC-10
AL662884.4,NTC-10
AL669831.1,NTC-10
AL669831.3,NTC-10
AL732372.2,NTC-10
AL772337.4,NTC-10
AL773545.3,NTC-10
ALAD,NTC-10
ALAS1,NTC-10
ALAS2,NTC-10
ALDH16A1,NTC-10
ALDH18A1,NTC-10
ALDH1A1,NTC-10
ALDH1A2,NTC-10
ALDH1B1,NTC-10
ALDH1L2,NTC-10
ALDH2,NTC-10
ALDH4A1,NTC-10
ALDH5A1,NTC-10
ALDH6A1,NTC-10
ALDH7A1,NTC-10
ALDH9A1,NTC-10
ALDOA,NTC-10
ALDOC,NTC-10
ALG10B,NTC-10
ALG11,NTC-10
ALG12,NTC-10
ALG13,NTC-10
ALG14,NTC-10
ALG1,NTC-10
ALG2,NTC-10
ALG3,NTC-10
ALG5,NTC-10
ALG6,NTC-10
ALG8,NTC-10
ALG9,NTC-10
ALKBH1,NTC-10
ALKBH2,NTC-10
ALKBH3,NTC-10
ALKBH4,NTC-10
ALKBH5,NTC-10
ALKBH6,NTC-10
ALKBH7,NTC-10
ALKBH8,NTC-10
ALMS1,NTC-10
ALOX12,NTC-10
ALPK1,NTC-10
ALS2,NTC-10
ALX1,NTC-10
ALYREF,NTC-10
AMBRA1,NTC-10
AMD1,NTC-10
AMDHD2,NTC-10
AMFR,NTC-10
AMHR2,NTC-10
AMIGO2,NTC-10
AMMECR1L,NTC-10
AMMECR1,NTC-10
AMN1,NTC-10
AMOTL1,NTC-10
AMPD2,NTC-10
AMPD3,NTC-10
AMZ2,NTC-10
AMZ2P1,NTC-10
ANAPC10,NTC-10
ANAPC11,NTC-10
ANAPC13,NTC-10
ANAPC15,NTC-10
ANAPC16,NTC-10
ANAPC1,NTC-10
ANAPC2,NTC-10
ANAPC4,NTC-10
ANAPC5,NTC-10
ANAPC7,NTC-10
ANGEL1,NTC-10
ANGEL2,NTC-10
ANGPT1,NTC-10
ANK1,NTC-10
ANK3,NTC-10
ANKDD1A,NTC-10
ANKEF1,NTC-10
ANKFY1,NTC-10
ANKHD1,NTC-10
ANKH,NTC-10
ANKIB1,NTC-10
