Gene,gRNA
POLR3G,NTC-1
POTEC,NTC-1
PPHLN1,NTC-1
PPP1R12B,NTC-1
PPP1R18,NTC-1
PPP2R2D,NTC-1
PPP2R3C,NTC-1
PPP2R5C,NTC-1
PPP3CC,NTC-1
PRADC1,NTC-1
PRKRIP1,NTC-1
PRMT2,NTC-1
PRPF6,NTC-1
PRR13,NTC-1
PRR14L,NTC-1
PSENEN,NTC-1
PSMA3,NTC-1
PSMC4,NTC-1
PTGFRN,NTC-1
QKI,NTC-1
R3HDM1,NTC-1
RAB2B,NTC-1
RAB8B,NTC-1
RABIF,NTC-1
RAE1,NTC-1
RALGPS2,NTC-1
RALY,NTC-1
RASGEF1A,NTC-1
RBM48P1,NTC-1
RBM6,NTC-1
RBP5,NTC-1
REEP6,NTC-1
REXO5,NTC-1
RFX3,NTC-1
RING1,NTC-1
RIPOR3,NTC-1
RMND5B,NTC-1
RNF114,NTC-1
RNF115,NTC-1
RPAP1,NTC-1
RPL13,NTC-1
RPL41,NTC-1
RPLP1,NTC-1
RPS14,NTC-1
RPS21,NTC-1
RPS2P32,NTC-1
RRM1,NTC-1
SAMD1,NTC-1
SCARB1,NTC-1
SCG3,NTC-1
SCYL3,NTC-1
SDHA,NTC-1
SEC16A,NTC-1
SELENOW,NTC-1
SEMA4B,NTC-1
SEPT8,NTC-1
SERAC1,NTC-1
SF1,NTC-1
SF3B2,NTC-1
SGK3,NTC-1
SGSM2,NTC-1
SH3PXD2A,NTC-1
SHPRH,NTC-1
SIGMAR1,NTC-1
SIPA1L1,NTC-1
SIPA1,NTC-1
SLC12A6,NTC-1
SLC20A2,NTC-1
SLC27A2,NTC-1
SLC39A4,NTC-1
SMCR8,NTC-1
SMIM12,NTC-1
SMIM27,NTC-1
SMIM4,NTC-1
SNRNP27,NTC-1
SNX14,NTC-1
SNX8,NTC-1
SPACA6,NTC-1
SPAG7,NTC-1
SPIN3,NTC-1
SRP72,NTC-1
SRSF10,NTC-1
SSR4,NTC-1
STAMBP,NTC-1
STIP1,NTC-1
STX17,NTC-1
STX8,NTC-1
SUPT5H,NTC-1
SVEP1,NTC-1
SYVN1,NTC-1
TADA2B,NTC-1
TAMM41,NTC-1
TANK,NTC-1
TARDBP,NTC-1
TARS2,NTC-1
TBC1D22B,NTC-1
TBC1D25,NTC-1
TDRKH,NTC-1
TEX2,NTC-1
TFR2,NTC-1
TGFBR3,NTC-1
TMCO6,NTC-1
TMEM136,NTC-1
TMEM199,NTC-1
TMEM230,NTC-1
TMEM33,NTC-1
TMEM9B,NTC-1
TMOD3,NTC-1
TMX3,NTC-1
TMX4,NTC-1
TNRC6A,NTC-1
TOPBP1,NTC-1
TOR1AIP1,NTC-1
TRAF3IP1,NTC-1
TRIM14,NTC-1
TRIM35,NTC-1
TRPM2,NTC-1
TRPV2,NTC-1
TSC1,NTC-1
TSR1,NTC-1
TTC14,NTC-1
TTN,NTC-1
TUFM,NTC-1
TUT7,NTC-1
UBAC2,NTC-1
UBBP4,NTC-1
UBE2E3,NTC-1
UBE2G2,NTC-1
UBE2I,NTC-1
UBE2L3,NTC-1
UBE3A,NTC-1
UBL3,NTC-1
UBN2,NTC-1
UCP2,NTC-1
UNK,NTC-1
UPF2,NTC-1
UPRT,NTC-1
UQCRC2,NTC-1
URB2,NTC-1
USP20,NTC-1
USP27X,NTC-1
UTP23,NTC-1
VPS25,NTC-1
VPS35L,NTC-1
VPS4B,NTC-1
WBP1,NTC-1
WDR34,NTC-1
WDR74,NTC-1
WRAP73,NTC-1
WTAP,NTC-1
WWC2,NTC-1
WWP2,NTC-1
ZBTB34,NTC-1
ZBTB6,NTC-1
ZBTB8OS,NTC-1
ZCRB1,NTC-1
ZFP14,NTC-1
ZNF131,NTC-1
ZNF181,NTC-1
ZNF211,NTC-1
ZNF226,NTC-1
ZNF24,NTC-1
ZNF280A,NTC-1
ZNF326,NTC-1
ZNF367,NTC-1
ZNF431,NTC-1
ZNF546,NTC-1
ZNF559,NTC-1
ZNF571,NTC-1
ZNF585A,NTC-1
ZNF674,NTC-1
ZNF699,NTC-1
ZNF702P,NTC-1
ZNF718,NTC-1
ZNF75D,NTC-1
ZNF765,NTC-1
ZNF814,NTC-1
ZNF850,NTC-1
ZNF880,NTC-1
ZNRF1,NTC-1
ZSCAN12,NTC-1
ZSCAN21,NTC-1
ZSCAN30,NTC-1
ABHD10,NTC-2
ABHD17A,NTC-2
ABL1,NTC-2
ABRAXAS1,NTC-2
AC004556.1,NTC-2
AC018709.1,NTC-2
AC113398.1,NTC-2
ACBD5,NTC-2
ACSBG1,NTC-2
ADAM15,NTC-2
ADAMTS14,NTC-2
ADD2,NTC-2
ADGRD1,NTC-2
ADGRE2,NTC-2
AFAP1,NTC-2
AGO2,NTC-2
AIF1,NTC-2
AKAP1,NTC-2
AKAP8L,NTC-2
AKR1C1,NTC-2
ALDH1L2,NTC-2
ALG8,NTC-2
ANGPT1,NTC-2
ANKHD1,NTC-2
ANKRD18DP,NTC-2
ANKRD27,NTC-2
ANKS6,NTC-2
ANXA2,NTC-2
AP4E1,NTC-2
APH1B,NTC-2
ARAP1,NTC-2
ARHGAP1,NTC-2
ARID1A,NTC-2
ARID3B,NTC-2
ARL17A,NTC-2
ARL5B,NTC-2
ARMC10,NTC-2
ARMCX3,NTC-2
ARPC2,NTC-2
ARRB2,NTC-2
ARRDC1,NTC-2
ATG2A,NTC-2
ATMIN,NTC-2
ATP6V1C1,NTC-2
ATP8B2,NTC-2
ATPSCKMT,NTC-2
ATR,NTC-2
ATXN7L1,NTC-2
AURKB,NTC-2
BAHCC1,NTC-2
BBX,NTC-2
BCCIP,NTC-2
BCL2L11,NTC-2
BEND7,NTC-2
BIN3,NTC-2
BLVRA,NTC-2
BMP2K,NTC-2
BNIP2,NTC-2
BRAF,NTC-2
BRD2,NTC-2
BSG,NTC-2
C15orf40,NTC-2
C16orf95,NTC-2
C1GALT1C1,NTC-2
C1orf174,NTC-2
C1orf74,NTC-2
C2orf76,NTC-2
C3orf62,NTC-2
C9orf40,NTC-2
CACNB2,NTC-2
CASS4,NTC-2
CBX6,NTC-2
CCDC122,NTC-2
CCDC169,NTC-2
CCDC59,NTC-2
CCDC88B,NTC-2
CCNB1,NTC-2
CCP110,NTC-2
CCT7,NTC-2
CD19,NTC-2
CD99L2,NTC-2
CDC16,NTC-2
CDC23,NTC-2
CDC6,NTC-2
CDC73,NTC-2
CDK9,NTC-2
CENPJ,NTC-2
CENPW,NTC-2
CFL1,NTC-2
CHAC1,NTC-2
CHAF1B,NTC-2
CHST12,NTC-2
CHTOP,NTC-2
CIAPIN1,NTC-2
CINP,NTC-2
CISD1,NTC-2
CITED2,NTC-2
CIT,NTC-2
CLPX,NTC-2
CNTRL,NTC-2
COP1,NTC-2
COPB1,NTC-2
COPS5,NTC-2
COX6C,NTC-2
CPSF1,NTC-2
CR381653.2,NTC-2
CRY2,NTC-2
CRYZL1,NTC-2
CSK,NTC-2
CSNK2B,NTC-2
CSTF2,NTC-2
CTDSPL2,NTC-2
CWC22,NTC-2
CYB5D2,NTC-2
DAGLB,NTC-2
DCTPP1,NTC-2
DDX20,NTC-2
DEF6,NTC-2
DENND6B,NTC-2
DHCR7,NTC-2
DHX30,NTC-2
DLGAP4,NTC-2
DLL3,NTC-2
DNAAF3,NTC-2
DNAJB9,NTC-2
DNAJC10,NTC-2
DNAJC4,NTC-2
DOLPP1,NTC-2
DPCD,NTC-2
DPH7,NTC-2
DRAP1,NTC-2
DRG1,NTC-2
DUSP11,NTC-2
DYNLRB1,NTC-2
DYRK4,NTC-2
EDEM3,NTC-2
EEA1,NTC-2
EEF2K,NTC-2
EGLN3,NTC-2
EID2B,NTC-2
EIF2AK3,NTC-2
EIPR1,NTC-2
ELF2,NTC-2
ELMO2,NTC-2
ELMOD2,NTC-2
ELMSAN1,NTC-2
ELOVL7,NTC-2
ERMARD,NTC-2
ETFRF1,NTC-2
ETHE1,NTC-2
ETV3,NTC-2
EWSR1,NTC-2
EXOSC6,NTC-2
EXOSC7,NTC-2
EXTL2,NTC-2
F2R,NTC-2
FAAHP1,NTC-2
FADS1,NTC-2
FAHD2A,NTC-2
FAHD2B,NTC-2
FAM189B,NTC-2
FAM219B,NTC-2
FAM228B,NTC-2
FBXL20,NTC-2
FBXO33,NTC-2
FBXW11,NTC-2
FDX1,NTC-2
FHIT,NTC-2
FH,NTC-2
FKBP4,NTC-2
FKBP8,NTC-2
FLNC,NTC-2
FNDC3A,NTC-2
FOXJ3,NTC-2
FOXO3,NTC-2
FRG1,NTC-2
FUT1,NTC-2
FUT8,NTC-2
GAB2,NTC-2
GABRG3,NTC-2
GALNT11,NTC-2
GAMT,NTC-2
GATA2,NTC-2
GATB,NTC-2
GCNT2,NTC-2
GEN1,NTC-2
GFOD1,NTC-2
GGA1,NTC-2
GGCX,NTC-2
GMPS,NTC-2
GNA13,NTC-2
GOLGA2,NTC-2
GOT1,NTC-2
GPBP1,NTC-2
GPD1L,NTC-2
GPR137C,NTC-2
GPS2,NTC-2
GPSM1,NTC-2
GSK3B,NTC-2
GTF2H2C,NTC-2
GTF2IRD1,NTC-2
GTSE1,NTC-2
H2AFZ,NTC-2
HACE1,NTC-2
HBBP1,NTC-2
HBP1,NTC-2
HCFC1,NTC-2
HDAC8,NTC-2
HERPUD1,NTC-2
HIP1R,NTC-2
HNRNPH2,NTC-2
HNRNPUL2,NTC-2
HOOK3,NTC-2
HSD17B10,NTC-2
HSPA5,NTC-2
HSPA9,NTC-2
HTATSF1,NTC-2
ICE2,NTC-2
IFNGR2,NTC-2
IGF1R,NTC-2
IGF2BP3,NTC-2
IKBKB,NTC-2
IKZF3,NTC-2
INTS4,NTC-2
INTS8,NTC-2
IQCG,NTC-2
ITGB3BP,NTC-2
ITM2B,NTC-2
JKAMP,NTC-2
JMJD4,NTC-2
KBTBD3,NTC-2
KBTBD7,NTC-2
KCNAB2,NTC-2
KCTD6,NTC-2
KIAA1324,NTC-2
KIAA1841,NTC-2
KIFC2,NTC-2
KMT2A,NTC-2
KPNA1,NTC-2
KPNA2,NTC-2
KPNB1,NTC-2
KRCC1,NTC-2
KRT18,NTC-2
LACTB2,NTC-2
LANCL3,NTC-2
LARP7,NTC-2
LDLRAP1,NTC-2
LEMD3,NTC-2
LGALS3,NTC-2
LIPG,NTC-2
LITAF,NTC-2
LMF2,NTC-2
LPAR5,NTC-2
LPCAT4,NTC-2
LPIN2,NTC-2
LRBA,NTC-2
LRP5,NTC-2
LRP8,NTC-2
LRRC37A2,NTC-2
LRRC69,NTC-2
LRRC8B,NTC-2
LSM11,NTC-2
LSM2,NTC-2
LSM6,NTC-2
LZIC,NTC-2
LZTS2,NTC-2
MAF1,NTC-2
MAGEB2,NTC-2
MAPK3,NTC-2
MAPK6,NTC-2
MARK4,NTC-2
MBD2,NTC-2
MBLAC1,NTC-2
MBNL1,NTC-2
MCM6,NTC-2
MCMBP,NTC-2
MECOM,NTC-2
MED12,NTC-2
MED13L,NTC-2
MELK,NTC-2
METTL25,NTC-2
METTL9,NTC-2
MFSD3,NTC-2
MICAL1,NTC-2
MICAL3,NTC-2
MICOS10,NTC-2
MID1IP1,NTC-2
MIER2,NTC-2
MLLT6,NTC-2
MLYCD,NTC-2
MNAT1,NTC-2
MPZ,NTC-2
MRNIP,NTC-2
MRPL32,NTC-2
MTND2P28,NTC-2
MTO1,NTC-2
MTRNR2L11,NTC-2
MXD4,NTC-2
NAA30,NTC-2
NAB2,NTC-2
NACA,NTC-2
NAGK,NTC-2
NBDY,NTC-2
NBEAL1,NTC-2
NCBP1,NTC-2
NCOA4,NTC-2
NDC1,NTC-2
NDFIP2,NTC-2
NDUFA6,NTC-2
NDUFAF2,NTC-2
NDUFAF7,NTC-2
NDUFB10,NTC-2
NDUFB2,NTC-2
NFKBIL1,NTC-2
NMRAL1,NTC-2
NOL10,NTC-2
NOL11,NTC-2
NRM,NTC-2
NSRP1,NTC-2
NT5DC2,NTC-2
NT5DC4,NTC-2
NT5M,NTC-2
NTPCR,NTC-2
NUDT21,NTC-2
NUS1,NTC-2
NXPH4,NTC-2
OFD1,NTC-2
ORC4,NTC-2
OST4,NTC-2
PAFAH2,NTC-2
PAIP1,NTC-2
PAK2,NTC-2
PBRM1,NTC-2
PCNX4,NTC-2
PDIA5,NTC-2
PDIK1L,NTC-2
PDPK1,NTC-2
PDXDC1,NTC-2
PEX12,NTC-2
PFAS,NTC-2
PFKFB4,NTC-2
PGD,NTC-2
PHACTR1,NTC-2
PHF12,NTC-2
PHF21A,NTC-2
PICK1,NTC-2
PIH1D1,NTC-2
PITRM1,NTC-2
PKLR,NTC-2
PLBD1,NTC-2
PLCD3,NTC-2
PLCG2,NTC-2
PLEKHG2,NTC-2
PLK1,NTC-2
PML,NTC-2
PMM1,NTC-2
PPIL2,NTC-2
PPP1CC,NTC-2
PPP1R8,NTC-2
PPP4R1L,NTC-2
PPWD1,NTC-2
PRDX5,NTC-2
PRKAR2B,NTC-2
PRR7,NTC-2
PSMA2,NTC-2
PSMD1,NTC-2
PSMG2,NTC-2
PTGS1,NTC-2
PTPRF,NTC-2
PWWP3A,NTC-2
QKI,NTC-2
RAB11FIP1,NTC-2
RABGAP1,NTC-2
RAD50,NTC-2
RAD51AP1,NTC-2
RAD9A,NTC-2
RAPGEF1,NTC-2
RARG,NTC-2
RARS2,NTC-2
RAVER1,NTC-2
RBL2,NTC-2
RBM12B,NTC-2
RBM25,NTC-2
RCC1L,NTC-2
RCL1,NTC-2
REX1BD,NTC-2
RFK,NTC-2
RHCE,NTC-2
RHD,NTC-2
RHOXF2,NTC-2
RMDN3,NTC-2
RND2,NTC-2
RNF111,NTC-2
RNF113A,NTC-2
RNF14,NTC-2
RNF24,NTC-2
RNF4,NTC-2
ROMO1,NTC-2
RPL36A,NTC-2
RPS10,NTC-2
RPS2,NTC-2
RPS4XP22,NTC-2
RPS6,NTC-2
RRP12,NTC-2
RRP1,NTC-2
RTCB,NTC-2
RTTN,NTC-2
RUFY2,NTC-2
RUSC2,NTC-2
RWDD3,NTC-2
RWDD4,NTC-2
SAR1A,NTC-2
SCAP,NTC-2
SCARB1,NTC-2
SCLY,NTC-2
SDC4,NTC-2
SDHAF3,NTC-2
SEC16A,NTC-2
SEMA4B,NTC-2
SEPSECS,NTC-2
SFXN4,NTC-2
SGK3,NTC-2
SGMS1,NTC-2
SGO2,NTC-2
SGPL1,NTC-2
SHH,NTC-2
SIDT2,NTC-2
SIK3,NTC-2
SLC12A2,NTC-2
SLC15A4,NTC-2
SLC25A13,NTC-2
SLC25A30,NTC-2
SLC25A3,NTC-2
SLC25A40,NTC-2
SLC35B2,NTC-2
SLC35G1,NTC-2
SLTM,NTC-2
SMC2,NTC-2
SMC3,NTC-2
SMIM4,NTC-2
SNRNP200,NTC-2
SNX25,NTC-2
SP3,NTC-2
SPART,NTC-2
SPATA5L1,NTC-2
SPCS1,NTC-2
SPDYC,NTC-2
SPG7,NTC-2
SPTLC2,NTC-2
SRPRA,NTC-2
SRSF4,NTC-2
SRSF7,NTC-2
SRSF8,NTC-2
SSBP1,NTC-2
ST3GAL2,NTC-2
ST8SIA1,NTC-2
STAT1,NTC-2
SUMF1,NTC-2
TAF5L,NTC-2
TAPBP,NTC-2
TBC1D2B,NTC-2
TBC1D4,NTC-2
TCTE3,NTC-2
TEAD1,NTC-2
TENT4A,NTC-2
TENT5A,NTC-2
TEP1,NTC-2
TFAP4,NTC-2
TFIP11,NTC-2
TGFBR3,NTC-2
THAP6,NTC-2
TIGD6,NTC-2
TIMM21,NTC-2
TIMM8A,NTC-2
TIMP1,NTC-2
TINAGL1,NTC-2
TIPARP,NTC-2
TMBIM1,NTC-2
TMC3,NTC-2
TMC5,NTC-2
TMC6,NTC-2
TMEM101,NTC-2
TMEM120B,NTC-2
TMEM123,NTC-2
TMEM127,NTC-2
TMEM135,NTC-2
TMEM179B,NTC-2
TMEM191A,NTC-2
TMEM231,NTC-2
TMEM44,NTC-2
TMEM74B,NTC-2
TMLHE,NTC-2
TNFSF13B,NTC-2
TNK2,NTC-2
TNKS1BP1,NTC-2
TNPO1,NTC-2
TOB2,NTC-2
TRABD,NTC-2
TRADD,NTC-2
TRAF6,NTC-2
TRAIP,NTC-2
TRAK2,NTC-2
TRAPPC12,NTC-2
TRAPPC6B,NTC-2
TRIM16,NTC-2
TRMT5,NTC-2
TSACC,NTC-2
TSGA10,NTC-2
TSPAN4,NTC-2
TTC21B,NTC-2
TTC23,NTC-2
TTC31,NTC-2
TTC7B,NTC-2
TYRO3,NTC-2
TYW1B,NTC-2
UBE2K,NTC-2
UBE2Q2P1,NTC-2
UBE2V1,NTC-2
UBOX5,NTC-2
UPF1,NTC-2
UROS,NTC-2
USP14,NTC-2
USP36,NTC-2
UTP25,NTC-2
UXS1,NTC-2
VCPIP1,NTC-2
VDAC3,NTC-2
VIRMA,NTC-2
VPS50,NTC-2
VSIG10,NTC-2
WASF1,NTC-2
WASHC4,NTC-2
WASL,NTC-2
WBP4,NTC-2
WDR25,NTC-2
WIPF1,NTC-2
WRAP73,NTC-2
XRCC6,NTC-2
XRN2,NTC-2
YARS2,NTC-2
YEATS2,NTC-2
YKT6,NTC-2
YME1L1,NTC-2
ZBTB10,NTC-2
ZBTB8B,NTC-2
ZBTB8OS,NTC-2
ZC3H8,NTC-2
ZCCHC2,NTC-2
ZDHHC8,NTC-2
ZFYVE1,NTC-2
ZIC2,NTC-2
ZKSCAN5,NTC-2
ZMAT3,NTC-2
ZMAT5,NTC-2
ZNF200,NTC-2
ZNF286A,NTC-2
ZNF335,NTC-2
ZNF354B,NTC-2
ZNF385A,NTC-2
ZNF432,NTC-2
ZNF438,NTC-2
ZNF567,NTC-2
ZNF573,NTC-2
ZNF668,NTC-2
ZNF680,NTC-2
ZNF75D,NTC-2
ZNF821,NTC-2
ZNF846,NTC-2
ZNF865,NTC-2
AAMP,NTC-3
ABCA3,NTC-3
ABCF2,NTC-3
AC026470.1,NTC-3
AC139256.1,NTC-3
AC240274.1,NTC-3
AC244636.2,NTC-3
ACAP2,NTC-3
ACO2,NTC-3
ACTR5,NTC-3
AGBL5,NTC-3
AK4,NTC-3
AL390728.4,NTC-3
AL512646.1,NTC-3
AL669831.3,NTC-3
ALAS2,NTC-3
ALDH1A1,NTC-3
ALKBH3,NTC-3
ALYREF,NTC-3
AMHR2,NTC-3
AMIGO2,NTC-3
AMMECR1,NTC-3
ANAPC4,NTC-3
ANKRD10,NTC-3
ANKRD13A,NTC-3
ANKRD20A21P,NTC-3
ANKRD20A5P,NTC-3
ANKRD36C,NTC-3
ANKRD36,NTC-3
ANKRD54,NTC-3
ANO5,NTC-3
ANO6,NTC-3
APBA3,NTC-3
APOE,NTC-3
APOO,NTC-3
APOPT1,NTC-3
ARHGEF2,NTC-3
ARHGEF7,NTC-3
ARL15,NTC-3
ARL17A,NTC-3
ARL5A,NTC-3
ASB1,NTC-3
ASB3,NTC-3
ASCL2,NTC-3
ASMTL,NTC-3
ATG10,NTC-3
ATP13A3,NTC-3
ATP2A1,NTC-3
ATP5MC1,NTC-3
ATP6V1E1,NTC-3
ATP7A,NTC-3
ATXN7L1,NTC-3
ATXN7L3,NTC-3
AUNIP,NTC-3
B4GALT1,NTC-3
BCAS4,NTC-3
BLOC1S6,NTC-3
BMPR1A,NTC-3
BORCS5,NTC-3
BRI3BP,NTC-3
BRMS1L,NTC-3
BRPF1,NTC-3
BST2,NTC-3
BTAF1,NTC-3
BTBD9,NTC-3
C14orf39,NTC-3
C16orf70,NTC-3
C19orf25,NTC-3
C1orf112,NTC-3
C22orf46,NTC-3
C2orf88,NTC-3
C7orf50,NTC-3
C9orf85,NTC-3
CAV2,NTC-3
CBX8,NTC-3
CCAR1,NTC-3
CCBE1,NTC-3
CCDC144NL,NTC-3
CCDC173,NTC-3
CCDC8,NTC-3
CCNB1IP1,NTC-3
CCNH,NTC-3
CD2BP2,NTC-3
CDC27,NTC-3
CDCA4,NTC-3
CENPF,NTC-3
CENPL,NTC-3
CEP350,NTC-3
CFAP54,NTC-3
CHD8,NTC-3
CHD9,NTC-3
CHST12,NTC-3
CIAO1,NTC-3
CIZ1,NTC-3
CLDN15,NTC-3
CLEC2L,NTC-3
CLHC1,NTC-3
CLIC2,NTC-3
CLIP3,NTC-3
CLSTN3,NTC-3
CNBP,NTC-3
CNOT4,NTC-3
CNOT6,NTC-3
CNST,NTC-3
COASY,NTC-3
COG1,NTC-3
COPB1,NTC-3
COPG2,NTC-3
COPS3,NTC-3
COPS8,NTC-3
COQ7,NTC-3
CORO1B,NTC-3
COX14,NTC-3
CREB3L4,NTC-3
CREB3,NTC-3
CRNKL1,NTC-3
CRY2,NTC-3
CUL2,NTC-3
CUTALP,NTC-3
CWC27,NTC-3
CYB5B,NTC-3
CYB5RL,NTC-3
DAPK3,NTC-3
DDX42,NTC-3
DDX58,NTC-3
DDX6,NTC-3
DEUP1,NTC-3
DHRS4,NTC-3
DIAPH1,NTC-3
DIDO1,NTC-3
DLC1,NTC-3
DLG3,NTC-3
DNM2,NTC-3
DOCK7,NTC-3
DOLK,NTC-3
DUS3L,NTC-3
DUSP7,NTC-3
EDRF1,NTC-3
EFCAB13,NTC-3
EFCAB2,NTC-3
EFCAB7,NTC-3
EFTUD2,NTC-3
EIF4EBP2,NTC-3
ELL,NTC-3
ELOVL1,NTC-3
EMC6,NTC-3
EMC8,NTC-3
EPC1,NTC-3
EPS15L1,NTC-3
ERGIC1,NTC-3
ETFB,NTC-3
EZH2,NTC-3
FAHD2CP,NTC-3
FAM110A,NTC-3
FAM120B,NTC-3
FAM160B1,NTC-3
FAM160B2,NTC-3
FAM204A,NTC-3
FAM207A,NTC-3
FAM214B,NTC-3
FAM57A,NTC-3
FAM72B,NTC-3
FAM76B,NTC-3
FAM89A,NTC-3
FANCD2,NTC-3
FANCI,NTC-3
FBXL13,NTC-3
FBXO22,NTC-3
FCHSD2,NTC-3
FEM1A,NTC-3
FIP1L1,NTC-3
FKBP7,NTC-3
FKTN,NTC-3
FLNB,NTC-3
FOXD2,NTC-3
FOXO4,NTC-3
FXN,NTC-3
FXR1,NTC-3
FXYD7,NTC-3
G6PD,NTC-3
GABRP,NTC-3
GAGE2A,NTC-3
GALE,NTC-3
GALK1,NTC-3
GANC,NTC-3
GARS,NTC-3
GATAD1,NTC-3
GET4,NTC-3
GFOD1,NTC-3
GGCT,NTC-3
GGPS1,NTC-3
GINS3,NTC-3
GLE1,NTC-3
GLRX5,NTC-3
GLUL,NTC-3
GMPR,NTC-3
GNA13,NTC-3
GOLGA2P5,NTC-3
GOLGA8A,NTC-3
GOSR1,NTC-3
GOT2P3,NTC-3
GPAA1,NTC-3
GRAMD1A,NTC-3
GRB2,NTC-3
GRIK1,NTC-3
GSK3B,NTC-3
GTF3A,NTC-3
HADHA,NTC-3
HDAC4,NTC-3
HEBP1,NTC-3
HECTD2,NTC-3
HELQ,NTC-3
HEXA,NTC-3
HEXB,NTC-3
HIST1H2AH,NTC-3
HMBS,NTC-3
HNRNPA0,NTC-3
HNRNPF,NTC-3
HNRNPUL1,NTC-3
HOXB3,NTC-3
HOXB4,NTC-3
HSBP1,NTC-3
HSD17B1,NTC-3
HSPA8,NTC-3
HSPB1,NTC-3
HSPH1,NTC-3
HYOU1,NTC-3
ICK,NTC-3
IFT172,NTC-3
IL16,NTC-3
IL27RA,NTC-3
ILF3,NTC-3
IMPDH2,NTC-3
ING1,NTC-3
IRF2BP1,NTC-3
ISCU,NTC-3
ISYNA1,NTC-3
ITFG2,NTC-3
ITGB5,NTC-3
ITPR3,NTC-3
ITSN1,NTC-3
JAK1,NTC-3
KAT5,NTC-3
KCNJ16,NTC-3
KDM3A,NTC-3
KHDC1,NTC-3
KIAA0556,NTC-3
KLHL13,NTC-3
KMT2C,NTC-3
KNL1,NTC-3
KPNA2,NTC-3
KPNA6,NTC-3
KRCC1,NTC-3
KRTAP19-5,NTC-3
KTN1,NTC-3
LAMTOR4,NTC-3
LARP4B,NTC-3
LCMT2,NTC-3
LDLRAD3,NTC-3
LEO1,NTC-3
LHX6,NTC-3
LIMK1,NTC-3
LMBRD2,NTC-3
LMLN,NTC-3
LPCAT3,NTC-3
LRRTM4,NTC-3
LSP1P4,NTC-3
LTBR,NTC-3
LYSMD2,NTC-3
LYSMD3,NTC-3
LYZ,NTC-3
LZTR1,NTC-3
MAGEA3,NTC-3
MAGOHB,NTC-3
MAGOH,NTC-3
MAK16,NTC-3
MANEA,NTC-3
MAP3K11,NTC-3
MAPK6,NTC-3
MAPK8IP1,NTC-3
MARF1,NTC-3
MARK3,NTC-3
MATR3,NTC-3
MCM3,NTC-3
MCMBP,NTC-3
MCRIP1,NTC-3
MELTF,NTC-3
METAP1,NTC-3
METRN,NTC-3
METTL8,NTC-3
MFGE8,NTC-3
MICOS10,NTC-3
MIOS,NTC-3
MLF1,NTC-3
MLX,NTC-3
MMACHC,NTC-3
MMUT,NTC-3
MOAP1,NTC-3
MOCOS,NTC-3
MOGS,NTC-3
MON2,NTC-3
MORC3,NTC-3
MPDZ,NTC-3
MRNIP,NTC-3
MRPL10,NTC-3
MRPL51,NTC-3
MRPL57,NTC-3
MRPS23,NTC-3
MRPS24,NTC-3
MRPS5,NTC-3
MRPS9,NTC-3
MSL3,NTC-3
MSL3P1,NTC-3
MSRA,NTC-3
MTF1,NTC-3
MTMR10,NTC-3
MXRA7,NTC-3
MYADM,NTC-3
MYL5,NTC-3
MYO6,NTC-3
NAGK,NTC-3
NAMPT,NTC-3
NBPF12,NTC-3
NDUFA4,NTC-3
NDUFB4,NTC-3
NDUFV2P1,NTC-3
NEK2,NTC-3
NEK9,NTC-3
NFE2L3,NTC-3
NFIA,NTC-3
NKIRAS1,NTC-3
NMRAL1,NTC-3
NPRL3,NTC-3
NQO2,NTC-3
NR2C2,NTC-3
NUDT13,NTC-3
NUP107,NTC-3
NUP58,NTC-3
NXT2,NTC-3
ONECUT2,NTC-3
OPTN,NTC-3
OSBPL9,NTC-3
OSGEP,NTC-3
OXSR1,NTC-3
PAFAH1B1,NTC-3
PARP2,NTC-3
PARP9,NTC-3
PBRM1,NTC-3
PBXIP1,NTC-3
PDCD5,NTC-3
PDE3B,NTC-3
PDIA4,NTC-3
PDIA6,NTC-3
PDSS2,NTC-3
PEF1,NTC-3
PELO,NTC-3
PEX16,NTC-3
PFKL,NTC-3
PGGT1B,NTC-3
PGK1,NTC-3
PI4KA,NTC-3
PI4KB,NTC-3
PIGO,NTC-3
PITX1,NTC-3
PIWIL4,NTC-3
PKIG,NTC-3
PLA2G12A,NTC-3
PLA2G15,NTC-3
PLP2,NTC-3
PLSCR1,NTC-3
PNKD,NTC-3
POLDIP2,NTC-3
POLG2,NTC-3
POLR2I,NTC-3
POTEI,NTC-3
PPP4R3A,NTC-3
PPP5C,NTC-3
PPT2,NTC-3
PRCC,NTC-3
PRDX6,NTC-3
PRKACB,NTC-3
PROSER1,NTC-3
PRR7,NTC-3
PSENEN,NTC-3
PSMC2,NTC-3
PSMD13,NTC-3
PSMD6,NTC-3
PSTPIP2,NTC-3
PTPMT1,NTC-3
PTPN12,NTC-3
PTPRR,NTC-3
PUF60,NTC-3
PUS7L,NTC-3
RAB14,NTC-3
RAB2B,NTC-3
RAB3IP,NTC-3
RALGAPB,NTC-3
RARG,NTC-3
RASA3,NTC-3
RASSF1,NTC-3
RCE1,NTC-3
RDH11,NTC-3
REXO1,NTC-3
RFC5,NTC-3
RFX5,NTC-3
RHEBL1,NTC-3
RIC8A,NTC-3
RILPL1,NTC-3
RIPOR3,NTC-3
RMDN2,NTC-3
RNF2,NTC-3
RNFT2,NTC-3
RP2,NTC-3
RPAP1,NTC-3
RPL17,NTC-3
