gene_id,gRNA_group,pair_type
AL669831.3,NTC-10,negative_control
AL732372.2,NTC-10,negative_control
AL772337.4,NTC-10,negative_control
AL773545.3,NTC-10,negative_control
ALAD,NTC-10,negative_control
ALAS1,NTC-10,negative_control
ALAS2,NTC-10,negative_control
ALDH16A1,NTC-10,negative_control
ALDH18A1,NTC-10,negative_control
ALDH1A1,NTC-10,negative_control
ALDH1A2,NTC-10,negative_control
ALDH1B1,NTC-10,negative_control
ALDH1L2,NTC-10,negative_control
ALDH2,NTC-10,negative_control
ALDH4A1,NTC-10,negative_control
ALDH5A1,NTC-10,negative_control
ALDH6A1,NTC-10,negative_control
ALDH7A1,NTC-10,negative_control
ALDH9A1,NTC-10,negative_control
ALDOA,NTC-10,negative_control
ALDOC,NTC-10,negative_control
ALG10B,NTC-10,negative_control
ALG11,NTC-10,negative_control
ALG12,NTC-10,negative_control
ALG13,NTC-10,negative_control
ALG14,NTC-10,negative_control
ALG1,NTC-10,negative_control
ALG2,NTC-10,negative_control
ALG3,NTC-10,negative_control
ALG5,NTC-10,negative_control
ALG6,NTC-10,negative_control
ALG8,NTC-10,negative_control
ALG9,NTC-10,negative_control
ALKBH1,NTC-10,negative_control
ALKBH2,NTC-10,negative_control
ALKBH3,NTC-10,negative_control
ALKBH4,NTC-10,negative_control
ALKBH5,NTC-10,negative_control
ALKBH6,NTC-10,negative_control
ALKBH7,NTC-10,negative_control
ALKBH8,NTC-10,negative_control
ALMS1,NTC-10,negative_control
ALOX12,NTC-10,negative_control
ALPK1,NTC-10,negative_control
ALS2,NTC-10,negative_control
ALX1,NTC-10,negative_control
ALYREF,NTC-10,negative_control
AMBRA1,NTC-10,negative_control
AMD1,NTC-10,negative_control
AMDHD2,NTC-10,negative_control
AMFR,NTC-10,negative_control
AMHR2,NTC-10,negative_control
AMIGO2,NTC-10,negative_control
AMMECR1L,NTC-10,negative_control
AMMECR1,NTC-10,negative_control
AMN1,NTC-10,negative_control
AMOTL1,NTC-10,negative_control
AMPD2,NTC-10,negative_control
AMPD3,NTC-10,negative_control
AMZ2,NTC-10,negative_control
AMZ2P1,NTC-10,negative_control
ANAPC10,NTC-10,negative_control
ANAPC11,NTC-10,negative_control
ANAPC13,NTC-10,negative_control
ANAPC15,NTC-10,negative_control
ANAPC16,NTC-10,negative_control
ANAPC1,NTC-10,negative_control
ANAPC2,NTC-10,negative_control
ANAPC4,NTC-10,negative_control
ANAPC5,NTC-10,negative_control
ANAPC7,NTC-10,negative_control
ANGEL1,NTC-10,negative_control
ANGEL2,NTC-10,negative_control
ANGPT1,NTC-10,negative_control
ANK1,NTC-10,negative_control
ANK3,NTC-10,negative_control
ANKDD1A,NTC-10,negative_control
ANKEF1,NTC-10,negative_control
ANKFY1,NTC-10,negative_control
ANKHD1,NTC-10,negative_control
ANKH,NTC-10,negative_control
ANKIB1,NTC-10,negative_control
ANKLE1,NTC-10,negative_control
ANKLE2,NTC-10,negative_control
ANKMY1,NTC-10,negative_control
ANKMY2,NTC-10,negative_control
ANKRA2,NTC-10,negative_control
ANKRD10,NTC-10,negative_control
ANKRD11,NTC-10,negative_control
ANKRD12,NTC-10,negative_control
ANKRD13A,NTC-10,negative_control
ANKRD13B,NTC-10,negative_control
ANKRD13C,NTC-10,negative_control
ANKRD13D,NTC-10,negative_control
ANKRD16,NTC-10,negative_control
ANKRD17,NTC-10,negative_control
ANKRD18B,NTC-10,negative_control
ANKRD18DP,NTC-10,negative_control
ANKRD20A11P,NTC-10,negative_control
ANKRD20A17P,NTC-10,negative_control
ANKRD20A1,NTC-10,negative_control
ANKRD20A21P,NTC-10,negative_control
ANKRD20A3,NTC-10,negative_control
ANKRD20A5P,NTC-10,negative_control
ANKRD20A8P,NTC-10,negative_control
ANKRD26,NTC-10,negative_control
ANKRD27,NTC-10,negative_control
ANKRD28,NTC-10,negative_control
ANKRD33B,NTC-10,negative_control
ANKRD33,NTC-10,negative_control
ANKRD36B,NTC-10,negative_control
ANKRD36BP2,NTC-10,negative_control
ANKRD36C,NTC-10,negative_control
ANKRD36,NTC-10,negative_control
ANKRD37,NTC-10,negative_control
ANKRD39,NTC-10,negative_control
ANKRD40,NTC-10,negative_control
ANKRD42,NTC-10,negative_control
ANKRD46,NTC-10,negative_control
ANKRD49,NTC-10,negative_control
ANKRD50,NTC-10,negative_control
ANKRD52,NTC-10,negative_control
ANKRD54,NTC-10,negative_control
ANKRD9,NTC-10,negative_control
ANKS1A,NTC-10,negative_control
ANKS1B,NTC-10,negative_control
ANKS3,NTC-10,negative_control
ANKS6,NTC-10,negative_control
ANKZF1,NTC-10,negative_control
ANLN,NTC-10,negative_control
ANO10,NTC-10,negative_control
ANO5,NTC-10,negative_control
ANO6,NTC-10,negative_control
ANO8,NTC-10,negative_control
ANP32A,NTC-10,negative_control
ANP32B,NTC-10,negative_control
ANP32E,NTC-10,negative_control
ANTXR2,NTC-10,negative_control
ANXA11,NTC-10,negative_control
ANXA1,NTC-10,negative_control
ANXA2,NTC-10,negative_control
ANXA2R,NTC-10,negative_control
ANXA3,NTC-10,negative_control
ANXA4,NTC-10,negative_control
ANXA5,NTC-10,negative_control
ANXA6,NTC-10,negative_control
ANXA7,NTC-10,negative_control
ANXA9,NTC-10,negative_control
AP000347.1,NTC-10,negative_control
AP000553.5,NTC-10,negative_control
AP000769.1,NTC-10,negative_control
AP000902.1,NTC-10,negative_control
AP001267.5,NTC-10,negative_control
AP002495.2,NTC-10,negative_control
AP002956.1,NTC-10,negative_control
AP002990.1,NTC-10,negative_control
AP003108.2,NTC-10,negative_control
AP006222.1,NTC-10,negative_control
AP1AR,NTC-10,negative_control
AP1B1,NTC-10,negative_control
AP1G1,NTC-10,negative_control
AP1G2,NTC-10,negative_control
AP1M1,NTC-10,negative_control
AP1S1,NTC-10,negative_control
AP1S2,NTC-10,negative_control
AP2A1,NTC-10,negative_control
AP2A2,NTC-10,negative_control
AP2B1,NTC-10,negative_control
AP2M1,NTC-10,negative_control
AP2S1,NTC-10,negative_control
AP3B1,NTC-10,negative_control
AP3D1,NTC-10,negative_control
AP3M1,NTC-10,negative_control
AP3M2,NTC-10,negative_control
AP3S1,NTC-10,negative_control
AP3S2,NTC-10,negative_control
AP4B1,NTC-10,negative_control
AP4E1,NTC-10,negative_control
AP4M1,NTC-10,negative_control
AP4S1,NTC-10,negative_control
AP5B1,NTC-10,negative_control
AP5M1,NTC-10,negative_control
AP5S1,NTC-10,negative_control
AP5Z1,NTC-10,negative_control
APAF1,NTC-10,negative_control
APBA2,NTC-10,negative_control
APBA3,NTC-10,negative_control
APBB3,NTC-10,negative_control
APC2,NTC-10,negative_control
APC,NTC-10,negative_control
APEH,NTC-10,negative_control
APEX1,NTC-10,negative_control
APEX2,NTC-10,negative_control
APH1A,NTC-10,negative_control
APH1B,NTC-10,negative_control
API5,NTC-10,negative_control
APIP,NTC-10,negative_control
APLP1,NTC-10,negative_control
APLP2,NTC-10,negative_control
APMAP,NTC-10,negative_control
APOBEC3B,NTC-10,negative_control
APOBEC3C,NTC-10,negative_control
APOBEC3F,NTC-10,negative_control
APOBEC3G,NTC-10,negative_control
APOC1,NTC-10,negative_control
APOL1,NTC-10,negative_control
APOL2,NTC-10,negative_control
APOL4,NTC-10,negative_control
APOL6,NTC-10,negative_control
APOM,NTC-10,negative_control
APOOL,NTC-10,negative_control
APOO,NTC-10,negative_control
APOPT1,NTC-10,negative_control
APPBP2,NTC-10,negative_control
APPL1,NTC-10,negative_control
APPL2,NTC-10,negative_control
APRT,NTC-10,negative_control
APTX,NTC-10,negative_control
AQP10,NTC-10,negative_control
AQP11,NTC-10,negative_control
AQP1,NTC-10,negative_control
AQP3,NTC-10,negative_control
AQR,NTC-10,negative_control
ARAF,NTC-10,negative_control
ARAP1,NTC-10,negative_control
ARAP3,NTC-10,negative_control
ARCN1,NTC-10,negative_control
AREG,NTC-10,negative_control
AREL1,NTC-10,negative_control
ARF1,NTC-10,negative_control
ARF3,NTC-10,negative_control
ARF4,NTC-10,negative_control
ARF5,NTC-10,negative_control
ARF6,NTC-10,negative_control
ARFGAP1,NTC-10,negative_control
ARFGAP2,NTC-10,negative_control
ARFGAP3,NTC-10,negative_control
ARFGEF1,NTC-10,negative_control
ARFGEF2,NTC-10,negative_control
ARFIP1,NTC-10,negative_control
ARFIP2,NTC-10,negative_control
ARFRP1,NTC-10,negative_control
ARG2,NTC-10,negative_control
ARGFX,NTC-10,negative_control
ARGLU1,NTC-10,negative_control
ARHGAP11A,NTC-10,negative_control
ARHGAP12,NTC-10,negative_control
ARHGAP15,NTC-10,negative_control
ARHGAP17,NTC-10,negative_control
ARHGAP18,NTC-10,negative_control
ARHGAP1,NTC-10,negative_control
ARHGAP21,NTC-10,negative_control
