"Gene","gRNA","p_value"
"ADK","NTC-10",0.572378788655227
"ADNP2","NTC-10",0.428680954103264
"ADNP","NTC-10",0.8028708791053
"ADO","NTC-10",0.499049789414709
"ADORA2B","NTC-10",0.0157849164235344
"ADPGK","NTC-10",0.141142129617284
"ADPRM","NTC-10",0.795090854278166
"ADRM1","NTC-10",0.221002643174458
"ADSL","NTC-10",0.643532195799495
"ADTRP","NTC-10",0.383740768824864
"AEBP2","NTC-10",0.431520863606204
"AEN","NTC-10",0.423770368229691
"AFAP1","NTC-10",0.241350568540506
"AFDN","NTC-10",0.383428772981116
"AFF1","NTC-10",0.361818247379783
"AFF4","NTC-10",0.0997214016627187
"AFG1L","NTC-10",0.84022596304635
"AFG3L1P","NTC-10",0.163447718184804
"AFG3L2","NTC-10",0.0928218390028212
"AFMID","NTC-10",0.585535406814738
"AFTPH","NTC-10",0.40795630068785
"AGA","NTC-10",0.281034362044255
"AGAP1","NTC-10",0.105028038793544
"AGAP3","NTC-10",0.650006466706001
"AGBL3","NTC-10",0.793428670564925
"AGBL5","NTC-10",0.134786318870737
"AGFG1","NTC-10",0.966987779242027
"AGFG2","NTC-10",0.169956585299147
"AGGF1","NTC-10",0.119737623249707
"AGK","NTC-10",0.260464441254253
"AGL","NTC-10",0.62520611120543
"AGMO","NTC-10",0.614004546116459
"AGO1","NTC-10",0.000956558384856678
"AGO2","NTC-10",0.589348834237323
"AGO3","NTC-10",0.785057523411724
"AGO4","NTC-10",0.899324813345103
"AGPAT1","NTC-10",0.794348516050544
"AGPAT2","NTC-10",0.178703599534241
"AGPAT3","NTC-10",0.0322086757638991
"AGPAT4","NTC-10",0.256795240461211
"AGPAT5","NTC-10",0.487528733796981
"AGPS","NTC-10",0.521530956497023
"AGRN","NTC-10",0.00928437143913337
"AGTPBP1","NTC-10",0.171753199451092
"AGTRAP","NTC-10",0.04160545617625
"AHCTF1","NTC-10",0.62711927433145
"AHCYL1","NTC-10",0.646748723090302
"AHCYL2","NTC-10",0.0736127264497113
"AHCY","NTC-10",0.219408822948272
"AHDC1","NTC-10",0.00293026291002108
"AHI1","NTC-10",0.637489414157057
"AHNAK","NTC-10",0.128893546852003
"AHSA1","NTC-10",0.649527914919451
"AHSA2P","NTC-10",0.0770054756129842
"AHSP","NTC-10",0.607731753437073
"AIDA","NTC-10",0.0187436620487313
"AIF1L","NTC-10",0.839462045380199
"AIF1","NTC-10",0.366078627860422
"AIFM1","NTC-10",0.191408439728981
"AIFM2","NTC-10",0.278828762461246
"AIG1","NTC-10",0.415435647352992
"AIMP1","NTC-10",0.321465582640633
"AIMP2","NTC-10",0.442843415122217
"AIP","NTC-10",0.065806383899383
"AK1","NTC-10",0.622425396789638
"AK2","NTC-10",0.00230131151537532
"AK3","NTC-10",0.0820487317731308
"AK4","NTC-10",0.915425162996469
"AK5","NTC-10",0.162046968236867
"AK6","NTC-10",0.142715003078214
"AKAP10","NTC-10",0.493681481993307
"AKAP11","NTC-10",0.243085774462629
"AKAP17A","NTC-10",0.662062461684156
"AKAP1","NTC-10",0.187324949111167
"AKAP7","NTC-10",0.105249179179706
"AKAP8L","NTC-10",0.0703407175071518
"AKAP8","NTC-10",0.0695400479308975
"AKAP9","NTC-10",0.851544574778312
"AKIP1","NTC-10",0.131920489898658
"AKIRIN1","NTC-10",0.249765835672628
"AKIRIN2","NTC-10",0.0106309190533363
"AKNA","NTC-10",0.105438507840729
"AKR1A1","NTC-10",0.673116841301893
"AKR1B15","NTC-10",0.215833414831109
"AKR1C1","NTC-10",0.56035745987081
"AKR1C2","NTC-10",0.725769632994082
"AKR1C3","NTC-10",0.47377718424134
"AKR1E2","NTC-10",0.221397477622996
"AKR7A2","NTC-10",0.0730978369975736
"AKT1","NTC-10",0.565819799464537
"AKT1S1","NTC-10",0.655027849416568
"AKT2","NTC-10",0.116437187290627
"ALAD","NTC-10",0.565679596516896
"ALAS1","NTC-10",0.00894605732000282
"ALAS2","NTC-10",0.0200480919417489
"ALDH16A1","NTC-10",0.683886884335696
"ALDH18A1","NTC-10",0.559893592265203
"ALDH1A1","NTC-10",0.0540851589214285
"ALDH1A2","NTC-10",0.620335705952878
"ALDH1B1","NTC-10",0.625517274336293
"ALDH1L2","NTC-10",0.442502655331711
"ALDH2","NTC-10",0.852592034018637
"ALDH4A1","NTC-10",0.281764363201266
"ALDH5A1","NTC-10",0.844836069266241
"ALDH6A1","NTC-10",0.201637955211213
"ALDH7A1","NTC-10",0.279505956858487
"ALDH9A1","NTC-10",0.633655159453339
"ALDOA","NTC-10",0.449703688679112
"ALDOC","NTC-10",0.279221245330249
"ALG10B","NTC-10",0.0657449598372053
"ALG11","NTC-10",0.0976943390711767
"ALG12","NTC-10",0.611469982174718
"ALG13","NTC-10",0.815566272173057
"ALG14","NTC-10",0.691565001407629
"ALG1","NTC-10",0.973154963794275
"ALG2","NTC-10",0.368416865773549
"ALG3","NTC-10",0.421327279659128
"ALG5","NTC-10",0.0816662860234936
"ALG6","NTC-10",0.481891674636664
"ALG8","NTC-10",0.508444990364966
"ALG9","NTC-10",0.963794930568223
"ALKBH1","NTC-10",0.774618877446982
"ALKBH2","NTC-10",0.235498828782661
"ALKBH3","NTC-10",0.43326439919832
"ALKBH4","NTC-10",0.0686943346887831
"ALKBH5","NTC-10",0.374526184849041
"ALKBH6","NTC-10",0.125120736242666
