"Gene","gRNA","p_value"
"UNC119B","SNP-81-2",0.783528295267553
"SIRT4","SNP-81-2",0.514032973788846
"RNF10","SNP-81-2",0.870669031436201
"RAB35","SNP-81-2",0.661424366673391
"COX6A1","SNP-81-2",0.181825279728088
"ACADS","SNP-81-2",0.633749740676019
"GATC","SNP-81-2",0.815634377955827
"MLEC","SNP-81-2",0.956967653573912
"DOT1L","SNP-75-2",0.83023958531803
"ADAT3","SNP-75-2",0.240447527156335
"BTBD2","SNP-75-2",0.513813937630489
"ABHD17A","SNP-75-2",0.176821661993621
"PLEKHJ1","SNP-75-2",0.0023100272690226
"LSM7","SNP-75-2",2.31207334705823e-05
"AP3D1","SNP-75-2",0.0532035214363381
"MOB3A","SNP-75-2",0.0170431758587801
"LMNB2","SNP-75-2",0.015031352246418
"TIMM13","SNP-75-2",2.25677512473157e-05
"SPPL2B","SNP-75-2",0.98100840228172
"MKNK2","SNP-75-2",0.870647537747302
"SF3A2","SNP-75-2",0.11945536162966
"AMH","SNP-75-2",0.374879814641884
"KLF16","SNP-75-2",0.221525836237468
"REXO1","SNP-75-2",0.164648833224315
"CSNK1G2","SNP-75-2",0.0623174136299048
"SCAMP4","SNP-75-2",0.663200152837572
"RAB1A","SNP-82-2",0.0975014690163084
"SERTAD2","SNP-82-2",0.95095787233561
"SLC1A4","SNP-82-2",0.143305141782397
"CEP68","SNP-82-2",0.573753762709766
"AFTPH","SNP-82-2",0.623310627501777
"ACTR2","SNP-82-2",0.0353474537231565
"CYBA","SNP-35-1",0.000293631499495517
"MVD","SNP-35-1",0.000728032733279357
"GALNS","SNP-35-1",0.750460560553018
"ZFPM1","SNP-35-1",0.0906505737061604
"ACSF3","SNP-35-1",0.000151105450265231
"TRAPPC2L","SNP-35-1",0.000899536915628524
"CDT1","SNP-35-1",0.164926587827639
"APRT","SNP-35-1",1.06564319782946e-07
"CBFA2T3","SNP-35-1",0.20608715615242
"ZNF778","SNP-35-1",0.12913007484563
"RNF166","SNP-35-1",0.0169335953714463
"SNAI3","SNP-35-1",0.507346535183328
"ZC3H18","SNP-35-1",0.0610102073990709
"TFDP1","SNP-55-1",0.956612245701966
"GRTP1","SNP-55-1",0.346273067663086
"LAMP1","SNP-55-1",0.734819876611844
"CUL4A","SNP-55-1",0.233919722987911
"PCID2","SNP-55-1",0.196568557654354
"GAS6","SNP-55-1",0.850007426082681
"DCUN1D2","SNP-55-1",0.811838606442887
"PCYT1A","SNP-24-2",0.00913139352460309
"ZDHHC19","SNP-24-2",0.110380005428493
"RNF168","SNP-24-2",0.149890762284566
"WDR53","SNP-24-2",0.892398752677032
"TFRC","SNP-24-2",0.607734137605306
"TNK2","SNP-24-2",0.991758555611574
"UBXN7","SNP-24-2",0.755432267113118
"FBXO45","SNP-24-2",0.360701819659443
"TM4SF19","SNP-24-2",0.462046677720903
"NEK7","SNP-14-2",0.450868720402507
"ABRAXAS2","SNP-47-1",0.139587660765072
"LHPP","SNP-47-1",0.473632040744766
"FAM53B","SNP-47-1",0.787991863195361
"OAT","SNP-47-1",0.89832734587753
"EEF1AKMT2","SNP-47-1",0.752289690715448
"CTBP2","SNP-47-1",0.410028585552288
"DCUN1D2","SNP-4-1",0.212758650882032
"TMCO3","SNP-4-1",0.619680722555407
"LAMP1","SNP-4-1",0.104307341628401
"TFDP1","SNP-4-1",0.586375065016526
"ATP11A","SNP-4-1",0.926124466368437
"PCID2","SNP-4-1",0.717900720723358
"GRTP1","SNP-4-1",0.0317178771119252
"CUL4A","SNP-4-1",0.362092884715825
"ERAL1","SNP-59-1",2.11629807021839e-05
"FLOT2","SNP-59-1",0.631399461813544
"RPL23A","SNP-59-1",5.63450894676243e-05
"KIAA0100","SNP-59-1",0.764757765972548
"NUFIP2","SNP-59-1",0.964216529787541
"ALDOC","SNP-59-1",0.361668784130964
"SUPT6H","SNP-59-1",0.292868115862038
"MYO18A","SNP-59-1",0.910688652811376
"TRAF4","SNP-59-1",0.0830243690475008
"UNC119","SNP-59-1",0.0113652035992214
"RSKR","SNP-59-1",0.560027141475549
"SLC46A1","SNP-59-1",0.47006535860763
"SDF2","SNP-59-1",0.230354506249962
"PROCA1","SNP-59-1",0.34291121203173
"FAM222B","SNP-59-1",0.672967166379223
"PIGS","SNP-59-1",0.00614301278098651
"PHF12","SNP-59-1",0.917387663434087
"SPAG5","SNP-59-1",0.988533638460645
"GLUL","SNP-57-1",0.969093493797886
"RNASEL","SNP-57-1",4.31800494958544e-05
"NPL","SNP-57-1",0.395541955562397
"PTPRC","SNP-16-2",0.662240156524949
"CEP57L1","SNP-7-2",0.537997741037397
"SESN1","SNP-7-2",0.613090106196142
"PPIL6","SNP-7-2",0.261133886939207
"ZBTB24","SNP-7-2",0.154606613726402
"MICAL1","SNP-7-2",0.832704718729591
"DICER1","SNP-58-2",0.786792165485079
"ZBTB24","SNP-6-2",4.64676997088937e-05
"PTPRC","SNP-17-1",0.0415996051092028
"CEP57L1","SNP-6-2",0.85038756999501
"SESN1","SNP-6-2",0.952179513516992
"CD164","SNP-6-2",0.0284003410085407
"PPIL6","SNP-6-2",0.0896143335733532
"MICAL1","SNP-6-2",0.666663458181138
"NDUFV2","SNP-64-2",0.0934567780680293
"MTCL1","SNP-64-2",0.37723283823963
"PPP4R1","SNP-64-2",0.964961740769589
"RALBP1","SNP-64-2",0.176262079921745
"TWSG1","SNP-64-2",0.104990346625794
"ZNF296","SNP-36-1",0.00172968432315135
"CLASRP","SNP-36-1",0.327675136313598
"BCL3","SNP-36-1",0.940577382144388
"TRAPPC6A","SNP-36-1",0.659745938469996
"GEMIN7","SNP-36-1",0.119832533862416
"RELB","SNP-36-1",0.130492014278417
"EXOC3L2","SNP-36-1",0.521929798522548
"KLC3","SNP-36-1",0.0552519939476403
"NECTIN2","SNP-36-1",0.891910889285429
"BLOC1S3","SNP-36-1",0.0289244861795016
"CLPTM1","SNP-36-1",0.270472891056472
"PVR","SNP-36-1",0.639879152547378
"PPP1R37","SNP-36-1",0.213278648432481
"ERCC2","SNP-36-1",0.817699965192592
"PPP1R13L","SNP-36-1",0.6702862865068
"ZNF180","SNP-36-1",0.486540052374041
"MARK4","SNP-36-1",0.820559065126282
"NEK7","SNP-18-1",0.266778527806192
"HK1","SNP-49-1",0.512884341274448
"SUPV3L1","SNP-49-1",0.443189452436669
"VPS26A","SNP-49-1",0.414943242060807
"DDX21","SNP-49-1",0.0529009118661278
"FAM241B","SNP-49-1",0.435283001011449
"SRGN","SNP-49-1",0.00307069290886758
"DDX50","SNP-49-1",0.559133154441
"ACTR2","SNP-50-2",0.00473025587941305
"SLC1A4","SNP-50-2",0.131094672788751
"SPRED2","SNP-50-2",0.244108458861597
"CEP68","SNP-50-2",0.38399783909694
