"gene_id","gRNA_id","gRNA_type","p_value","z_value","log_fold_change"
"NAA30","NTC-10","negative_control",0.455609470880094,-0.1263392564471,-0.0164275157078881
"NAA35","NTC-10","negative_control",0.240756459576813,-0.666294612663412,-0.0574113700567206
"NAA38","NTC-10","negative_control",0.407592407592408,-0.18217225545424,-0.0105811014425523
"NAA40","NTC-10","negative_control",0.387624084946628,-0.250792544071045,-0.0248654598777438
"NAA50","NTC-10","negative_control",0.827073361413658,0.940791641685189,0.0694457329477307
"NAA60","NTC-10","negative_control",0.291921452239906,-0.533596535705672,-0.0530217582404247
"NAA80","NTC-10","negative_control",0.87860989445538,1.10365428252888,0.172212436832827
"NAAA","NTC-10","negative_control",0.539524494661474,0.10199032326744,0.0211219473384712
"NAB1","NTC-10","negative_control",0.4766049980984,-0.0438333648513835,-0.00507632285403203
"NAB2","NTC-10","negative_control",0.910737578343121,1.40702195818735,0.16859692757043
"NABP1","NTC-10","negative_control",0.80776337782124,0.780044234428475,0.0639024038830434
"NABP2","NTC-10","negative_control",0.738514325906871,0.560750984659763,0.0296657361557988
"NACA","NTC-10","negative_control",0.926462310832532,1.33142334914328,0.0329359684584252
"NACC1","NTC-10","negative_control",0.78119836045083,0.783651851125598,0.0807479070396235
"NACC2","NTC-10","negative_control",0.300232101559342,-0.579483125814601,-0.0793382182361357
"NADK2","NTC-10","negative_control",0.523068410484119,0.0390854926655137,0.00394136308512105
"NADK","NTC-10","negative_control",0.671084866010164,0.42133081861524,0.0298335401864656
"NADSYN1","NTC-10","negative_control",0.0268677399511094,-1.80461457663525,-0.135937653834218
"NAE1","NTC-10","negative_control",0.705357644111932,0.603600101358013,0.0272854712443049
"NAF1","NTC-10","negative_control",0.623538002366613,0.327610457952053,0.0313840363189433
"NAGA","NTC-10","negative_control",0.883253294698749,1.16666054748117,0.140272334819354
"NAGK","NTC-10","negative_control",0.241758241758242,-0.669732295948925,-0.0658316160386183
"NAGLU","NTC-10","negative_control",0.289763977558926,-0.615922178217041,-0.100417173324681
"NAGPA","NTC-10","negative_control",0.41507310229937,-0.22886804331833,-0.0229452962111738
"NAIF1","NTC-10","negative_control",0.263568810697313,-0.631903966734612,-0.0864873263149111
"NAIP","NTC-10","negative_control",0.168524255672696,-0.909695810598809,-0.170525504632161
"NAMPT","NTC-10","negative_control",0.329057510153927,-0.40473585052698,-0.0269656160543079
"NANP","NTC-10","negative_control",0.929627461961985,1.47428607256032,0.238677001494736
"NANS","NTC-10","negative_control",0.030368676841167,-1.77825094478716,-0.0710060967580584
"NAP1L1","NTC-10","negative_control",0.656754324566189,0.352040497935466,0.0110532875648732
"NAP1L4","NTC-10","negative_control",0.00983535928907164,-2.13323123453379,-0.0981718443118647
"NAP1L5","NTC-10","negative_control",0.0624501543168831,-1.39962115013813,-0.217649724052985
"NAPA","NTC-10","negative_control",0.195808206172378,-0.779333082804699,-0.0359645348007703
"NAPB","NTC-10","negative_control",0.0949555481936774,-1.24205515819212,-0.260539220175437
"NAPEPLD","NTC-10","negative_control",0.775226038883911,0.738128711973776,0.0694091381996045
"NAPG","NTC-10","negative_control",0.00702980888682503,-2.30569286211819,-0.125324013534007
"NAPRT","NTC-10","negative_control",0.897471566001815,1.14796900953292,0.0763107442674759
"NARF","NTC-10","negative_control",0.339154754668354,-0.394456991734043,-0.0145677640207489
"NARS2","NTC-10","negative_control",0.0293811190252415,-1.8204551738408,-0.172005553632617
"NASP","NTC-10","negative_control",0.406738068596274,-0.156668236770106,-0.00655747051414091
"NAT10","NTC-10","negative_control",0.483211034636946,-0.0774835196212563,-0.006137100276142
"NAT14","NTC-10","negative_control",0.620565168792179,0.250484654033411,0.0237045203812034
"NAT1","NTC-10","negative_control",0.450912452188917,-0.132924647992906,-0.0246130577131898
"NAT9","NTC-10","negative_control",0.800428939916879,0.849902140997106,0.063665144755541
"NATD1","NTC-10","negative_control",0.0451964058256904,-1.58769779609389,-0.393239607530002
"NAV1","NTC-10","negative_control",0.256778814491748,-0.697888494509563,-0.0681931479583427
"NAXD","NTC-10","negative_control",0.582923495238578,0.186365788355933,0.0256821235444713
"NAXE","NTC-10","negative_control",0.572522000376376,0.188099804538051,0.00797458292108311
"NBAS","NTC-10","negative_control",0.0321966693251088,-1.76378848868667,-0.103802404582779
"NBDY","NTC-10","negative_control",0.573330455075911,0.121909715996045,0.00764500215121222
"NBEAL1","NTC-10","negative_control",0.078821528773418,-1.3600925980375,-0.161070537441806
"NBEAL2","NTC-10","negative_control",0.0858232690210603,-1.26002879694157,-0.150851318046973
"NBN","NTC-10","negative_control",0.274796645161102,-0.54457092069595,-0.0345234011196613
"NBPF10","NTC-10","negative_control",0.253865144692281,-0.805184127352653,-0.119753121342887
"NBPF11","NTC-10","negative_control",0.594369324437356,0.148694676842459,0.0212196250002992
"NBPF12","NTC-10","negative_control",0.538727323830439,0.0375279087100244,0.00534218856164115
"NBPF14","NTC-10","negative_control",0.2305554429317,-0.995185838392971,-0.157666667315655
"NBPF15","NTC-10","negative_control",0.869951730566899,1.12114911463416,0.173103975947862
"NBPF1","NTC-10","negative_control",0.696303696303696,0.462190814032139,0.0315534863392981
"NBPF20","NTC-10","negative_control",0.983771283481195,2.58302640269593,0.278022377540638
"NBPF3","NTC-10","negative_control",0.304298957493514,-0.503690049417907,-0.118924049498403
"NBPF9","NTC-10","negative_control",0.017332990001579,-2.00188893152523,-0.307185741727132
"NBR1","NTC-10","negative_control",0.420579420579421,-0.244805373948256,-0.020509235537545
"NCALD","NTC-10","negative_control",0.769307403689791,0.733669830038498,0.0408786080933712
"NCAM2","NTC-10","negative_control",0.171978906741008,-0.933529397108726,-0.104334030911623
"NCAPD2","NTC-10","negative_control",0.490311110732709,-0.029144723419842,-0.00262692065082465
"NCAPD3","NTC-10","negative_control",0.830876249641687,0.968555489762945,0.0544771590617681
"NCAPG2","NTC-10","negative_control",0.683313759210625,0.411285645975992,0.02841608132883
"NCAPG","NTC-10","negative_control",0.183549353761031,-0.844785497053025,-0.0599661176656185
"NCAPH2","NTC-10","negative_control",0.815101452897093,0.826532031145542,0.0738669245723427
"NCAPH","NTC-10","negative_control",0.850556916710223,0.982692465660636,0.0709070386369337
"NCBP1","NTC-10","negative_control",0.345996384753446,-0.398012707990695,-0.0254224382651437
"NCBP2","NTC-10","negative_control",0.729298371664746,0.601135463023326,0.0369474252194052
"NCBP3","NTC-10","negative_control",0.268591130444406,-0.591984502326715,-0.0456921290603015
"NCDN","NTC-10","negative_control",0.245626872803534,-0.680897802170652,-0.0890129191834612
